true_label,cell_type,latent_dim1,latent_dim2
0,0,0.99462646,0.79199976
0,0,-1.0886996,0.998177
0,0,-2.0275328,1.0753975
2,2,-0.0552183,7.07612
3,3,2.5133686,-4.406306
1,1,2.960805,-0.114806145
0,0,0.18579918,-1.347537
5,5,3.0051284,-4.908448
5,5,5.221811,-4.341034
0,0,0.31993556,1.1172848
4,4,4.185536,0.22004467
4,4,4.5406327,1.7033794
1,1,2.118386,-0.32099867
0,0,-2.3110843,1.5289052
0,0,-0.505224,0.7360525
2,2,-0.35438877,6.9866085
1,1,3.066785,0.24376523
0,0,-0.96374285,3.409789
2,2,0.38639933,7.380974
3,3,1.5932696,-3.883164
1,1,3.22938,2.1531022
0,0,-0.965853,0.55969656
1,1,2.8440158,0.84471786
3,3,3.0252163,-2.438893
0,0,-0.7016845,-0.6787138
0,0,-1.5362854,1.9632318
1,1,1.8385249,1.9725246
4,4,2.4043791,1.200711
6,6,9.138731,7.4709673
0,0,-1.0345769,2.253362
0,0,-1.1393616,0.22067544
1,1,2.4990606,-0.006874047
2,2,-0.53306866,8.023787
3,3,1.4875492,-4.6915755
2,2,-1.5295749,7.8560357
2,2,-1.1699326,6.7391825
5,5,6.4708357,-4.297025
2,2,-1.1237586,8.22533
4,4,4.96304,0.4146182
0,0,-1.429419,0.75615424
0,0,-0.9277573,4.161731
1,1,2.3868983,0.0655514
0,0,-1.4217851,0.38726512
0,0,-0.2851389,0.24254519
5,5,4.8190017,-2.3094854
0,0,-0.972747,1.7069976
3,3,1.5613337,-1.9246545
0,0,0.630004,0.5253279
0,0,-0.1472344,-1.5006826
0,0,-1.5283059,1.174103
0,0,-2.4678774,1.3240461
0,0,1.0354314,-0.9591584
3,3,1.3893658,-1.347883
4,4,5.4756627,2.0240898
0,0,0.26185733,0.37233695
2,2,-0.03890111,4.878625
0,0,-2.3343148,2.5082843
0,0,-1.3820753,3.865388
2,2,-0.5366617,9.777683
2,2,-0.95191664,6.0195384
3,3,1.0320691,-0.3727305
0,0,1.350835,-1.1040211
1,1,3.3844113,1.4271779
3,3,1.5548983,-3.1894214
0,0,-1.5074514,0.67569506
5,5,4.237831,-3.1288729
0,0,-0.123579636,0.5957329
4,4,3.2414184,1.4026167
2,2,0.09639846,8.248241
0,0,-2.0246096,3.475241
1,1,3.4146724,2.67556
0,0,-0.54743683,1.085094
3,3,0.47999537,-4.8755403
2,2,-1.0323647,5.4592705
0,0,-2.43806,2.1999397
2,2,-0.6034871,7.990643
0,0,0.13932161,1.3686202
4,4,4.7077293,1.742089
1,1,2.8704734,-0.0853491
1,1,3.142204,0.9670606
0,0,-1.2064718,0.5483835
2,2,-0.30631712,7.5490675
0,0,-1.2459736,0.705036
3,3,0.690873,0.17821604
0,0,-0.9820535,1.2704473
0,0,-1.9413357,2.5735695
2,2,0.71725065,5.8079643
3,3,-0.022200072,-1.0002128
2,2,-1.942698,4.8530927
1,1,2.8749614,0.70512307
0,0,-4.000409,3.320405
1,1,4.769386,1.1540866
3,3,1.1409979,-5.7270365
1,1,3.0438902,0.6188594
4,4,4.0654783,1.9042971
1,1,2.759195,0.99893874
1,1,2.5639822,0.96770734
2,2,-0.35291106,5.491913
1,1,1.3638941,0.70424956
2,2,-0.23269977,8.090322
5,5,3.7862356,-4.884315
2,2,-0.6568637,8.85956
0,0,-1.4600307,0.6334163
5,5,4.3274517,-2.5449715
1,1,4.3718543,0.05373673
1,1,3.9532428,0.061294556
0,0,0.4288196,-2.1369624
0,0,-1.0306598,1.6669352
5,5,4.1566887,-5.4459763
3,3,3.1580915,-5.4307203
1,1,0.5570194,0.8028137
1,1,2.4330766,-0.26754946
0,0,-1.9104438,2.4711199
0,0,0.17252012,2.0370042
3,3,1.3897221,-3.9980505
0,0,-0.6922271,1.5264866
5,5,5.680075,-2.7429087
1,1,3.813592,2.0619369
0,0,-0.49996972,1.1992939
0,0,-0.95745057,3.5621746
0,0,-1.7116693,2.055536
0,0,-2.106322,0.7143278
1,1,4.7225003,0.5436974
0,0,1.2774253,2.449213
0,0,0.061627652,-0.9239794
3,3,2.3267224,-3.9823768
2,2,-0.8781885,7.172052
5,5,5.5844445,-3.1904235
0,0,-1.8483849,2.163823
0,0,-0.5768873,1.4623325
0,0,-0.25337777,2.4378772
3,3,3.267274,-3.4417138
0,0,-0.6347996,1.6862645
0,0,-0.55965155,1.8087826
0,0,-1.5747954,2.0455825
0,0,-2.2249389,0.34518528
0,0,-0.6591789,4.0177407
0,0,-1.6852758,1.5610077
0,0,0.4423157,-1.405813
5,5,3.862349,-2.3562336
0,0,-0.86891663,1.3290787
1,1,3.4780102,0.073911
0,0,-1.9512804,1.8704181
0,0,-2.2301428,1.9022305
0,0,-1.6044776,1.2495124
2,2,0.26129,6.6723223
